Date,Value
2024-05-03,183
2024-05-06,181
2024-05-07,182
2024-05-08,182
2024-05-09,184
2024-05-10,182
2024-05-13,186
2024-05-14,187
2024-05-15,189
2024-05-16,189
2024-05-17,189
2024-05-20,190
2024-05-21,192
2024-05-22,190
2024-05-23,186
2024-05-24,189
2024-05-28,189
2024-05-29,190
2024-05-30,191
2024-05-31,192
2024-06-03,193
2024-06-04,194
2024-06-05,195
2024-06-06,194
2024-06-07,196
2024-06-10,192
2024-06-11,206
2024-06-12,212
2024-06-13,214
2024-06-14,212
2024-06-17,216
2024-06-18,214
2024-06-20,209
2024-06-21,207
2024-06-24,207
2024-06-25,208
2024-06-26,213
2024-06-27,213
2024-06-28,210
2024-07-01,216
2024-07-02,220
2024-07-03,221
2024-07-05,226
2024-07-08,227
2024-07-09,228
2024-07-10,232
2024-07-11,227
2024-07-12,230
2024-07-15,234
2024-07-16,234
2024-07-17,228
2024-07-18,223
2024-07-19,224
2024-07-22,223
2024-07-23,224
2024-07-24,218
2024-07-25,217
2024-07-26,217
2024-07-29,218
2024-07-30,218
2024-07-31,221
2024-08-01,218
2024-08-02,219
2024-08-05,209
2024-08-06,207
2024-08-07,209
2024-08-08,213
2024-08-09,216
2024-08-12,217
2024-08-13,221
2024-08-14,221
2024-08-15,224
2024-08-16,226
2024-08-19,225
2024-08-20,226
2024-08-21,226
2024-08-22,224
2024-08-23,226
2024-08-26,227
2024-08-27,228
2024-08-28,226
2024-08-29,229
2024-08-30,228
2024-09-03,222
2024-09-04,220
2024-09-05,222
2024-09-06,220
2024-09-09,220
2024-09-10,220
2024-09-11,222
2024-09-12,222
2024-09-13,222
2024-09-16,216
2024-09-17,216
2024-09-18,220
2024-09-19,228
2024-09-20,228
2024-09-23,226
2024-09-24,227
2024-09-25,226
2024-09-26,227
2024-09-27,227
2024-09-30,232
2024-10-01,226
2024-10-02,226
2024-10-03,225
2024-10-04,226
2024-10-07,221
2024-10-08,225
2024-10-09,229
2024-10-10,229
2024-10-11,227
2024-10-14,231
2024-10-15,233
2024-10-16,231
2024-10-17,232
2024-10-18,234
2024-10-21,236
2024-10-22,235
2024-10-23,230
2024-10-24,230
2024-10-25,231
2024-10-28,233
2024-10-29,233
2024-10-30,230
2024-10-31,225
2024-11-01,222
2024-11-04,222
2024-11-05,223
2024-11-06,222
2024-11-07,227
2024-11-08,227
2024-11-11,224
2024-11-12,224
2024-11-13,225
2024-11-14,228
2024-11-15,225
2024-11-18,228
2024-11-19,228
2024-11-20,229
2024-11-21,228
2024-11-22,230
2024-11-25,233
2024-11-26,235
2024-11-27,235
2024-11-29,237
2024-12-02,239
2024-12-03,242
2024-12-04,243
2024-12-05,243
2024-12-06,243
2024-12-09,246
2024-12-10,247
2024-12-11,246
2024-12-12,248
2024-12-13,248
2024-12-16,251
2024-12-17,253
2024-12-18,248
2024-12-19,250
2024-12-20,254
2024-12-23,255
2024-12-24,258
2024-12-26,259
2024-12-27,255
2024-12-30,252
2024-12-31,250
2025-01-02,244
2025-01-03,243
2025-01-06,245
2025-01-07,242
2025-01-08,242
2025-01-10,237
2025-01-13,234
2025-01-14,233
2025-01-15,238
2025-01-16,228
2025-01-17,230
2025-01-21,222
2025-01-22,224
2025-01-23,223
2025-01-24,223
2025-01-27,230
2025-01-28,238
2025-01-29,239
2025-01-30,237
2025-01-31,236
2025-02-03,228
2025-02-04,233
2025-02-05,232
2025-02-06,233
2025-02-07,227
2025-02-10,228
2025-02-11,233
2025-02-12,237
2025-02-13,242
2025-02-14,245
2025-02-18,244
2025-02-19,245
2025-02-20,246
2025-02-21,246
2025-02-24,247
2025-02-25,247
2025-02-26,240
2025-02-27,237
2025-02-28,242
2025-03-03,238
2025-03-04,236
2025-03-05,236
2025-03-06,235
2025-03-07,239
2025-03-10,227
2025-03-11,221
2025-03-12,217
2025-03-13,210
2025-03-14,213
2025-03-17,214
2025-03-18,213
2025-03-19,215
2025-03-20,214
2025-03-21,218
2025-03-24,221
2025-03-25,224
2025-03-26,222
2025-03-27,224
2025-03-28,218
2025-03-31,222
2025-04-01,223
2025-04-02,224
2025-04-03,203
2025-04-04,188
2025-04-07,181
2025-04-08,172
2025-04-09,199
2025-04-10,190
2025-04-11,198
2025-04-14,203
2025-04-15,202
2025-04-16,194
2025-04-17,197
2025-04-21,193
2025-04-22,200
2025-04-23,205
2025-04-24,208
2025-04-25,209
2025-04-28,210
2025-04-29,211
2025-04-30,212
2025-05-01,213
2025-05-02,205
